attribute_id,attribute_name,attribute_description,unit,data_format,ontology_iri,note
ATTR_00011,opex_per_energy,"Variable operational expenditure per unit of energy or mass output, excluding fuel costs. Expressed in Euros per kilowatt-hour (EUR/kWh) or Euros per kilogram (EUR/kg), depending on the output carrier. Must be a non-negative value.",EUR/kWh,float,,
ATTR_00012,operating_temperature_c,"Characteristic operating temperature range of the core process, defined by engineering specifications and thermal integration requirements. Includes lower and upper bounds for optimal operation.",°C,float,,
ATTR_00013,min_installation_size,"The minimum installation size represents the smallest operational unit capacity for the technology, defined by engineering constraints and accounting standards. A value of 0 indicates no minimum size restriction.",kW,float,,
ATTR_00014,uncertainty_rating,"Qualitative uncertainty rating assessing the confidence level in techno-economic parameters, based on source reliability, data variability, and expert judgment. May include scales such as low, medium, high, or numerical ranges with defined thresholds.",—,text,,
ATTR_00015,discount_rate_pct,"Technology-specific weighted average cost of capital (WACC) used to annualise capital expenditure (CAPEX) over the project lifetime. Represents the minimum return required by investors for financing the technology, expressed as a percentage of the initial investment.",%,float,,
ATTR_00016,reference_unit_size,The reference unit size defines the nameplate capacity (in MW or t/h) on which all specific cost and performance data are based. It serves as the scaling factor for techno-economic parameters and is determined by the technology's primary output or input carrier.,MW or t/h,text,,
ATTR_00017,storage_carrier,"The energy or material carrier being stored, referenced via abbreviations defined in the Carrier tab. Mandatory field specifying the type of carrier (e.g., H2, CH4, CO2) for storage technologies.",text,text,,
ATTR_00018,min_installation,"Smallest assumed storage capacity in kWh, defining the lower operational bound for system planning and engineering design. Represents the minimum viable capacity for technical feasibility and economic viability assessments.",kWh,float,,
ATTR_00019,charging_capacity_factor,"Maximum charging power as a dimensionless ratio of rated storage capacity (C-rate equivalent), defining operational limits for energy storage systems. Engineering definition aligns with battery terminology where 1C = 100% capacity per hour. Critical parameter for system performance, lifespan, and thermal management calculations.",—,float,,
ATTR_00020,discharging_capacity_factor,"Maximum discharging power as a dimensionless ratio (0–1) of the storage system's rated capacity, representing the fraction of nominal capacity that can be discharged under optimal conditions. Defines operational limits for energy release in storage systems.",—,float,,
ATTR_00021,charging_efficiency,"Dimensionless ratio representing the proportion of input energy successfully stored during charging, bounded between 0 (no energy stored) and 1 (perfect efficiency). Defines system performance metrics for electrochemical and mechanical storage technologies.",dimensionless,float,,
ATTR_00022,discharging_efficiency,"Dimensionless ratio representing the proportion of stored energy successfully discharged relative to the energy input during discharge, bounded between 0 (complete loss) and 1 (ideal efficiency with no losses). Accounts for electrochemical, thermal, and parasitic losses in energy storage systems.",—,float,,
ATTR_00023,min_soc,"Defines the minimum allowable state of charge (SOC) as a fraction of the total energy storage capacity, ensuring operational safety and system reliability. This value is critical for preventing deep discharge that could damage the storage system.",fraction,float,,
ATTR_00024,max_soc,"Maximum state of charge (SOC) as a dimensionless fraction (0–1) representing the upper operational limit of energy storage capacity, defined by engineering constraints, system safety margins, and accounting for degradation thresholds.",—,float,,
ATTR_00025,standby_loss_per_hour,"Quantifies the fractional energy loss rate per hour during standby mode, representing self-discharge or idle inefficiency. Operational bounds: 0 (no loss) to 1 (complete loss). Used in energy system modeling to calculate standby energy consumption and efficiency degradation over time.",1/h,float,,
ATTR_00026,capex_per_stor_capacity,"Specific capital expenditure (CAPEX) per unit of installed storage capacity, expressed in EUR per kWh of storage capacity. Represents the primary scaling parameter for storage technologies, with non-negative values reflecting investment costs normalised to energy storage capacity.",EUR/kWh,float,,
ATTR_00027,opex_per_stor_capacity_yr,"Fixed annual operational expenditure per unit of storage capacity, encompassing maintenance, monitoring, and other recurring fixed costs. Excludes variable costs tied to charge/discharge cycles. Values must be non-negative (≥ 0 EUR/kWh/yr).",EUR/kWh/yr,float,,
ATTR_00028,embedded_carbon,"Cradle-to-gate GHG emissions for direct air capture systems in the European region (RER), measured in kgCO₂-equivalent per kg of CO₂ captured, following PREMISE v2.3.6 + ecoinvent v3.11 LCA framework.",kgCO2eq/kg,float,,
