original_name,process_name,process_id,status
Liquid fuel tank (diesel/kerosene),Liquid fuel tank (diesel/kerosene),PROC_00053,created
Liquid fuel tank (gasoline),Liquid fuel tank (gasoline),PROC_00054,created
Ammonia storage tank,Ammonia storage tank,PROC_00055,created
direct air capture system,DAC (sorbent-based),PROC_00038,llm
"anaerobic digestion plant, agricultural",Anaerobic digester,PROC_00025,llm
"liquid storage tank, chemicals, organics","liquid storage tank, chemicals, organics",PROC_00056,created
gas boiler,Gas-fired boiler,PROC_00016,llm
"gas power plant, combined cycle, 400MW electrical",CCGT,PROC_00001,llm
"heat and power co-generation unit, 160kW electrical, common components for heat+electricity",CHP plant,PROC_00003,llm
"fuel cell, solid oxide, 125kW electrical, future",SOFC,PROC_00004,llm
"pipeline, natural gas, high pressure distribution network",Pipeline linepack,PROC_00048,llm
"micro gas turbine, 100kW electrical","micro gas turbine, 100kW electrical",PROC_00057,created
"fuel tank, compressed natural gas, 200 bar",Compressed CH₄ tank,PROC_00049,llm
monoethanolamine,monoethanolamine,PROC_00058,created
potassium carbonate,potassium carbonate,PROC_00059,created
electricity storage capacity,electricity storage capacity,PROC_00060,created
"heat pump, diffusion absorption, 4kW, future","heat pump, diffusion absorption, 4kW, future",PROC_00061,created
"electrolyzer, 1MWe, SOEC, Balance of Plant + 2 * Stack",SOEC co-electrolyser,PROC_00034,llm
"electrolyzer, 1MWe, AEC, Balance of Plant + 2 * Stack","electrolyzer, 1MWe, AEC, Balance of Plant + 2 * Stack",PROC_00062,created
"heat pump, 30kW","heat pump, 30kW",PROC_00063,created
"auxiliary heating unit, electric, 5kW","auxiliary heating unit, electric, 5kW",PROC_00064,created
"hydropower plant, reservoir, alpine region","hydropower plant, reservoir, alpine region",PROC_00065,created
"geothermal power plant, 5.5MWel",Geothermal power plant,PROC_00005,llm
"auto-thermal reforming-hydrogen GT power plant, 400MWe","auto-thermal reforming-hydrogen GT power plant, 400MWe",PROC_00066,created
"methanol production facility, construction","methanol production facility, construction",PROC_00067,created
ammonia synthesis catalyst,ammonia synthesis catalyst,PROC_00068,created
RWGS tank construction,RWGS tank construction,PROC_00069,created
sabatier reaction methanation unit,Sabatier reactor,PROC_00026,llm
"fuel tank, compressed hydrogen gas, 700bar",Compressed H₂ tank,PROC_00047,llm
"hydropower plant, reservoir","hydropower plant, reservoir, alpine region",PROC_00065,llm
"hydropower plant, run-of-river",Run-of-river plant,PROC_00008,llm
synthetic gas factory,synthetic gas factory,PROC_00070,created
municipal waste incineration facility,Incineration plant,PROC_00010,llm
"photovoltaic plant, 570kWp, multi-Si, on open ground","photovoltaic plant, 570kWp, multi-Si, on open ground",PROC_00071,created
"photovoltaic flat-roof installation, 3kWp, multi-Si, on roof",Rooftop PV,PROC_00012,llm
gas-to-liquid plant,gas-to-liquid plant,PROC_00072,created
"thermal storage system, solar tower power plant, 20 MW","thermal storage system, solar tower power plant, 20 MW",PROC_00073,created
"hot water tank, 600l",Hot water tank (residential),PROC_00045,llm
"heat storage, 2000l","heat storage, 2000l",PROC_00074,created
"nuclear power plant, pressure water reactor, 1000MW",Pressurised water reactor,PROC_00013,llm
"wind turbine, 2MW, onshore",Onshore wind turbine,PROC_00014,llm
"furnace, wood chips, with silo, 50kW",Biomass furnace,PROC_00023,llm
"heat and power co-generation unit, organic Rankine cycle, 1MWe, 6.4 MWth",CHP plant,PROC_00003,llm
